active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,phu_id,PHU,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,temporarily_closed,pharmacy,community_lab,assessment_centre,email,online_appointments,phone_appointments,symptomatic,general_population,age_threshold,weeks_pregnant,french_language_services,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr
Yes,1,Kirkland and District Hospital,Kirkland and District Hospital,Kirkland Lake Hospital,Kirkland Hospital,Kirkland Lake,145 Government Road East,145 chemin Government Est,P2N 3P4,ON,48.153552,-80.014725,1,Timiskaming Health Unit,705-568-2127,,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,,,Yes,Yes,No,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,
Yes,2,South Georgian Bay Regional Assessment Centre ,,Georgian Bay Family Health Team ,,Collingwood,490 Ontario Street,,L9Y 1N6,ON,44.503928,-80.201516,2,Simcoe Muskoka District Health Unit,705-444-5885,http://www.gbfht.ca/cac,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,,,,Yes,,https://gbfht.ca/cac/,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Located in the back parking lot Royal Canadian Legion, so please use the Erie Street entrance, NOT the Ontario Street Entrance. There is no parking fee.  Please use the wait list app on www.gbfht.ca/cac or call to schedule an appointment","Situos dans la tente dans le stationnement de l’o�quipe de Santos Familiale, o� costos de l’hospital."
Yes,3,Midland Assessment Centre,Midland Assessment Centre,Georgian Bay General Hospital,Hospital gosnosral de la baie Georgienne,Midland,1156 St. Andrews Drive,,L4R 4P4,ON,44.74184,-79.912455,2,Simcoe Muskoka District Health Unit,705-529-1025,http://gbgh.on.ca/covid-19-novel-coronavirus-updates/,08:00-16:00,08:00-20:00,08:00-16:00,08:00-20:00,08:00-16:00,08:00-16:00,,,Yes,No,No,,Yes,,,,Yes,,,,Yes,,0m,,Yes,No,Yes,Yes,,Yes,Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Appointments for swabbing can be booked via phone by calling 705-529-1025 Monday to Friday 8:00 am to 6:00 pm.  Follow signs/directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot,
Yes,4,Milton District Hospital,Hospital du district de Milton,Halton Healthcare Services,Halton Healthcare Services,Milton,725 Bronte Street South,725 rue Bronte Sud,L9T 9K1,ON,43.497418,-79.868476,3,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,,Yes,No,No,,Yes,,,,Yes,,https://www.haltonhealthcare.on.ca/covid-19-info/booking-a-test,TRUE,Yes,,0m,,No,No,,Yes,,Yes,Arrive at scheduled time (no more than 5 minutes early) to the Outpatient Entrance of Milton District Hospital. This is the entrance facing Bronte Street and is marked with yellow flags. Further specific details are provided when appointment is booked.,
Yes,5,Oakville Trafalgar Memorial Hospital,Oakville Trafalger Memorial Hospital,Halton Healthcare Services,Halton Healthcare Services,Oakville,3001 Hospital Gate,3001 Hospital Gate,L6M 0L8,ON,43.450869,-79.763927,3,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Yes,No,No,,Yes,,,,Yes,,https://www.haltonhealthcare.on.ca/covid-19-info/booking-a-test,TRUE,Yes,,0m,,No,No,,Yes,,Yes,Arrive at scheduled time (no more than 5 minutes early) to the South Entrance of Oakville Trafalgar Memorial Hospital. This is the entrance facing Dundas Street and is marked with multi-coloured flags. Do not enter via the Emergency Department. Further specific details are provided when appointment is booked.,
Yes,7,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Orangeville,100 Rolling Hills Drive,100 chemin Rolling Hills,L9W 4X9,ON,43.920776,-80.072523,4,Wellington-Dufferin-Guelph Health Unit,833-442-2001,https://www.headwatershealth.ca/,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,,Yes,No ,No,,No,,,,Yes,,,TRUE,Yes,,2y,,No,No,,,Yes,Yes,"Please call 1-833-442-2001 between the hours of 8:30 am and 4:30 pm daily to book an appointment.  Located beside the Emergency Department.  Last patient is seen at 9:40 pm.  For children under 2 years of age and requiring COVID-19 testing, please visit the Emergency Department. 

Appointment and location details: Appointment only.  Call or go online at www.headwatershealth.ca to book an appointment.  No drive through available.  Near public transit.",
Yes,8,MacKenzie Health,MacKenzie Health,MacKenzie Health,MacKenzie Health,Richmond Hill,10 Trench Street,10 rue Trench ,L4C 4Z3,ON,43.870017,-79.450278,5,York Region Public Health Services,905-883-1212 ext. 2004,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-17:30,10:00-17:30,,Yes,No,No,,,,,,Yes,,,,Yes,,6m,20,,,,,,,,
Yes,9,Markham Stouffville Hospital ,Hospital de Markham-Stouffville,Markham Stouffville Hospital ,Hospital de Markham-Stouffville,Markham,381 Church Street,381 rue Church,L3P 7P3,ON,43.884138,-79.231961,5,York Region Public Health Services,,https://www.msh.on.ca/,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:00-17:00,,Yes,No,No,,Yes,,,,Yes,,https://www.msh.on.ca/clinics-departments/covid-19-assessment-centre#registration,,Yes,,0m,,No,No,,,Yes,Yes, We do swab all ages at our assessment center.,
,10,Bracebridge Rotary Centre,Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Bracebridge,131 Wellington Street,131 rue Wellington,P1L 1E2,ON,45.037419,-79.318023,2,Simcoe Muskoka District Health Unit,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,0m,,No,No,Yes,Yes,,No,,
,11,Huntsville District Memorial Hospital,Hospital Memorial du district de Huntsville,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Huntsville,100 Frank Miller Drive,100 chemin Frank Miller,P1H 1H7,ON,45.339214,-79.20568,2,Simcoe Muskoka District Health Unit,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,0m,,No,No,Yes,Yes,,No,,
